K-CORES (!= 0).....
Node 102 => k-core: 1; degree: 1
Node 126 => k-core: 1; degree: 1
Node 127 => k-core: 1; degree: 1
Node 134 => k-core: 1; degree: 1
Node 145 => k-core: 1; degree: 1
Node 188 => k-core: 1; degree: 1
Node 233 => k-core: 1; degree: 1
Node 326 => k-core: 1; degree: 1
Node 364 => k-core: 1; degree: 1
Node 414 => k-core: 1; degree: 1
Node 426 => k-core: 1; degree: 1
Node 450 => k-core: 1; degree: 1
Node 463 => k-core: 1; degree: 1
Node 527 => k-core: 1; degree: 1
Node 642 => k-core: 1; degree: 1
Node 677 => k-core: 1; degree: 1
Node 712 => k-core: 1; degree: 1
Node 713 => k-core: 1; degree: 1
Node 720 => k-core: 1; degree: 1
Node 732 => k-core: 1; degree: 1
Node 733 => k-core: 1; degree: 1
Node 738 => k-core: 1; degree: 1
Node 758 => k-core: 1; degree: 1
Node 798 => k-core: 1; degree: 1
Node 863 => k-core: 1; degree: 1
Node 965 => k-core: 1; degree: 1
Node 967 => k-core: 1; degree: 1
Node 1014 => k-core: 1; degree: 1
Node 1105 => k-core: 1; degree: 1
Node 1154 => k-core: 1; degree: 1
Node 1439 => k-core: 1; degree: 1
Node 1445 => k-core: 1; degree: 1
Node 1448 => k-core: 1; degree: 1
Node 1453 => k-core: 1; degree: 1
Node 1454 => k-core: 1; degree: 1
Node 1469 => k-core: 1; degree: 1
Node 1531 => k-core: 1; degree: 1
Node 1588 => k-core: 1; degree: 1
Node 1594 => k-core: 1; degree: 1
Node 1603 => k-core: 1; degree: 1
Node 1695 => k-core: 1; degree: 1
Node 1700 => k-core: 1; degree: 1
Node 1729 => k-core: 1; degree: 1
Node 1744 => k-core: 1; degree: 1
Node 1801 => k-core: 1; degree: 1
Node 1815 => k-core: 1; degree: 1
Node 1862 => k-core: 1; degree: 1
Node 1905 => k-core: 1; degree: 1
Node 1975 => k-core: 1; degree: 1
Node 1995 => k-core: 1; degree: 1
Node 1996 => k-core: 1; degree: 1
Node 2025 => k-core: 1; degree: 1
Node 2119 => k-core: 1; degree: 1
Node 2132 => k-core: 1; degree: 1
Node 2139 => k-core: 1; degree: 1
Node 2181 => k-core: 1; degree: 1
Node 2221 => k-core: 1; degree: 1
Node 2225 => k-core: 1; degree: 1
