K-CORES (!= 0).....
Node 452 => k-core: 1; degree: 1
Node 642 => k-core: 1; degree: 1
Node 646 => k-core: 2; degree: 2
Node 743 => k-core: 1; degree: 1
Node 811 => k-core: 1; degree: 1
Node 814 => k-core: 1; degree: 1
Node 1457 => k-core: 1; degree: 1
Node 1541 => k-core: 1; degree: 1
Node 1607 => k-core: 1; degree: 1
Node 1886 => k-core: 1; degree: 1
Node 1891 => k-core: 1; degree: 1
Node 1899 => k-core: 1; degree: 1
Node 2227 => k-core: 1; degree: 1
Node 2345 => k-core: 1; degree: 1
Node 2503 => k-core: 1; degree: 1
Node 2654 => k-core: 1; degree: 1
Node 2790 => k-core: 1; degree: 1
Node 3060 => k-core: 1; degree: 1
Node 3267 => k-core: 1; degree: 1
Node 3276 => k-core: 1; degree: 1
Node 3314 => k-core: 1; degree: 1
Node 3522 => k-core: 1; degree: 1
Node 3681 => k-core: 1; degree: 1
Node 3781 => k-core: 1; degree: 1
Node 3800 => k-core: 1; degree: 1
Node 3808 => k-core: 1; degree: 1
Node 4018 => k-core: 1; degree: 1
Node 4019 => k-core: 1; degree: 1
Node 4202 => k-core: 1; degree: 1
Node 4555 => k-core: 1; degree: 1
Node 4629 => k-core: 1; degree: 1
Node 4716 => k-core: 1; degree: 1
Node 5112 => k-core: 1; degree: 1
Node 5316 => k-core: 1; degree: 1
Node 5412 => k-core: 1; degree: 1
Node 5773 => k-core: 1; degree: 1
Node 5822 => k-core: 1; degree: 1
Node 5874 => k-core: 1; degree: 1
Node 6286 => k-core: 1; degree: 1
Node 6288 => k-core: 1; degree: 1
Node 6304 => k-core: 1; degree: 1
Node 6305 => k-core: 1; degree: 1
Node 6365 => k-core: 1; degree: 1
Node 6466 => k-core: 1; degree: 1
Node 6701 => k-core: 1; degree: 1
Node 6880 => k-core: 1; degree: 1
Node 7135 => k-core: 1; degree: 1
Node 7159 => k-core: 1; degree: 1
Node 7204 => k-core: 1; degree: 1
Node 7312 => k-core: 1; degree: 1
Node 7351 => k-core: 1; degree: 1
Node 7554 => k-core: 1; degree: 1
Node 7620 => k-core: 1; degree: 1
Node 7703 => k-core: 1; degree: 1
Node 7918 => k-core: 1; degree: 1
Node 7942 => k-core: 1; degree: 1
Node 7990 => k-core: 1; degree: 1
Node 8006 => k-core: 1; degree: 1
Node 8008 => k-core: 1; degree: 1
Node 8011 => k-core: 1; degree: 1
Node 8013 => k-core: 1; degree: 1
Node 8019 => k-core: 1; degree: 1
Node 8020 => k-core: 1; degree: 1
Node 8021 => k-core: 2; degree: 57
Node 8022 => k-core: 1; degree: 1
Node 8083 => k-core: 1; degree: 1
Node 8087 => k-core: 1; degree: 1
Node 8088 => k-core: 1; degree: 1
