K-CORES (!= 0).....
Node 308 => k-core: 1; degree: 1
Node 312 => k-core: 1; degree: 1
Node 573 => k-core: 1; degree: 1
Node 707 => k-core: 1; degree: 1
Node 713 => k-core: 1; degree: 1
Node 732 => k-core: 1; degree: 1
Node 814 => k-core: 1; degree: 1
Node 837 => k-core: 1; degree: 1
Node 866 => k-core: 1; degree: 1
Node 947 => k-core: 1; degree: 1
Node 965 => k-core: 1; degree: 1
Node 981 => k-core: 1; degree: 1
Node 997 => k-core: 1; degree: 1
Node 999 => k-core: 1; degree: 1
Node 1016 => k-core: 1; degree: 1
Node 1457 => k-core: 1; degree: 1
Node 1489 => k-core: 1; degree: 1
Node 1525 => k-core: 1; degree: 1
Node 1526 => k-core: 1; degree: 1
Node 1676 => k-core: 1; degree: 1
Node 1753 => k-core: 1; degree: 1
Node 1768 => k-core: 1; degree: 1
Node 1780 => k-core: 1; degree: 1
Node 1828 => k-core: 1; degree: 1
Node 1844 => k-core: 1; degree: 1
Node 1866 => k-core: 1; degree: 1
Node 1910 => k-core: 1; degree: 1
Node 2000 => k-core: 1; degree: 1
Node 2128 => k-core: 1; degree: 1
Node 2221 => k-core: 1; degree: 1
Node 2225 => k-core: 1; degree: 1
Node 2298 => k-core: 1; degree: 1
Node 2495 => k-core: 1; degree: 1
Node 2512 => k-core: 1; degree: 1
Node 2576 => k-core: 1; degree: 1
Node 2656 => k-core: 1; degree: 1
Node 2706 => k-core: 1; degree: 1
Node 2712 => k-core: 1; degree: 1
Node 2765 => k-core: 1; degree: 1
Node 2773 => k-core: 1; degree: 1
Node 3171 => k-core: 1; degree: 1
Node 3294 => k-core: 1; degree: 1
Node 3298 => k-core: 1; degree: 1
Node 3379 => k-core: 1; degree: 1
Node 3484 => k-core: 1; degree: 1
Node 3609 => k-core: 1; degree: 1
Node 3612 => k-core: 1; degree: 1
Node 3639 => k-core: 1; degree: 1
Node 3649 => k-core: 1; degree: 1
Node 3916 => k-core: 1; degree: 1
