K-CORES (!= 0).....
Node 1 => k-core: 16; degree: 26
Node 2 => k-core: 18; degree: 32
Node 3 => k-core: 16; degree: 23
Node 4 => k-core: 16; degree: 31
Node 6 => k-core: 4; degree: 4
Node 7 => k-core: 14; degree: 15
Node 8 => k-core: 16; degree: 18
Node 9 => k-core: 16; degree: 36
Node 10 => k-core: 16; degree: 39
Node 11 => k-core: 16; degree: 27
Node 12 => k-core: 16; degree: 27
Node 13 => k-core: 16; degree: 25
Node 14 => k-core: 16; degree: 16
Node 15 => k-core: 16; degree: 16
Node 16 => k-core: 16; degree: 16
Node 17 => k-core: 16; degree: 27
Node 18 => k-core: 16; degree: 29
Node 19 => k-core: 10; degree: 10
Node 20 => k-core: 10; degree: 10
Node 21 => k-core: 10; degree: 10
Node 22 => k-core: 10; degree: 10
Node 23 => k-core: 16; degree: 22
Node 24 => k-core: 16; degree: 18
Node 26 => k-core: 16; degree: 19
Node 27 => k-core: 16; degree: 19
Node 30 => k-core: 16; degree: 30
Node 31 => k-core: 16; degree: 27
Node 32 => k-core: 15; degree: 20
Node 33 => k-core: 16; degree: 29
Node 34 => k-core: 3; degree: 3
Node 35 => k-core: 16; degree: 23
Node 36 => k-core: 14; degree: 15
Node 37 => k-core: 16; degree: 27
Node 38 => k-core: 14; degree: 17
Node 39 => k-core: 18; degree: 43
Node 40 => k-core: 16; degree: 25
Node 41 => k-core: 14; degree: 15
Node 42 => k-core: 7; degree: 7
Node 43 => k-core: 2; degree: 2
Node 44 => k-core: 18; degree: 31
Node 47 => k-core: 19; degree: 49
Node 48 => k-core: 16; degree: 18
Node 49 => k-core: 18; degree: 47
Node 50 => k-core: 16; degree: 22
Node 51 => k-core: 19; degree: 54
Node 52 => k-core: 18; degree: 32
Node 53 => k-core: 16; degree: 19
Node 54 => k-core: 15; degree: 16
Node 55 => k-core: 18; degree: 30
Node 56 => k-core: 9; degree: 9
Node 57 => k-core: 16; degree: 18
Node 58 => k-core: 16; degree: 18
Node 59 => k-core: 10; degree: 10
Node 60 => k-core: 16; degree: 18
Node 61 => k-core: 18; degree: 33
Node 62 => k-core: 10; degree: 10
Node 63 => k-core: 19; degree: 63
Node 64 => k-core: 16; degree: 17
Node 65 => k-core: 19; degree: 39
Node 66 => k-core: 18; degree: 25
Node 67 => k-core: 14; degree: 14
Node 68 => k-core: 19; degree: 30
Node 69 => k-core: 6; degree: 6
Node 72 => k-core: 19; degree: 39
Node 73 => k-core: 18; degree: 24
Node 74 => k-core: 11; degree: 12
Node 75 => k-core: 19; degree: 47
Node 76 => k-core: 19; degree: 50
Node 77 => k-core: 19; degree: 55
Node 78 => k-core: 19; degree: 40
Node 79 => k-core: 16; degree: 16
Node 80 => k-core: 18; degree: 21
Node 81 => k-core: 19; degree: 29
Node 83 => k-core: 17; degree: 20
Node 84 => k-core: 18; degree: 22
